Paragraphs
13 days Public Works | RTF0140641-01136724 | Temporary Provisional Permanent Civil Service 3434-Arborist Technician
13 days Public Health | RTF0130781-01076692 | Permanent Civil Service 3450-Agricultural Inspector
13 days Public Health | RTF0130727-01077337 | Permanent Civil Service 6220-Inspector Of Weights And Measures
13 days Public Health | RTF0144547-01098391 | Permanent Civil Service 0923-Manager II
"13 days One application, many opportunities Public Health | REF7172E | Permanent Civil Service 2932-Senior Behavioral Health Clinician"
"13 days One application, many opportunities Public Health | REF7170H | Permanent Civil Service 2930-Behavioral Health Clinician"
"13 days One application, many opportunities Public Health | REF23988C | Permanent Civil Service 2574-Clinical Psychologist"
13 days SF Community College District | RTF0145127-01126627 | Temporary Exempt 8209-Institutional Police Lieutenant
14 days Municipal Transportation Agency | RTF0119596-01150508 | Temporary Exempt 8201-School Crossing Guard
14 days Public Works | REF38431T | Permanent Civil Service 0942-Manager VII
14 days Public Utilities Commission | RTF0143533-01116163 | Permanent Civil Service 0923-Manager II
14 days Public Works | RTF0143304-01127372 | Permanent Civil Service 0941-Manager VI
"14 days One application, many opportunities Public Health | REF39030N | Permanent Civil Service 2920-Medical Social Worker"
16 days San Francisco International Airport | RTF0143548-01155105 | Temporary Exempt 9976-Technology Expert I
16 days San Francisco International Airport | RTF0141130-01041323 | Permanent Exempt 9976-Technology Expert I
16 days Technology | RTF0143344-01154879 | Permanent Exempt 1052-IS Business Analyst
16 days Mayor | RTF0144340-01151289 | Permanent Civil Service 1824-Principal Administrative Analyst
16 days Fine Arts Museum | REF2740E | Temporary Exempt 8202-Security Guard
"17 days Public Utilities Commission | REF4446I | Permanent Exempt 7372-Stationary Engineer, Sewage Plant"
21 days Technology | REF38939R | Permanent Exempt 0964-Department Head IV
21 days Homelessness and Supportive Housing | RTF0145148-01134113 | Permanent Exempt 0953-Deputy Director III
21 days Public Health | REF5194O | Temporary Exempt 2328-Nurse Practitioner
21 days Public Health | REF809X | Temporary Exempt 2920-Medical Social Worker
"22 days Apply now, closes today!  Municipal Transportation Agency | RTF0143705-01111611 | Permanent Exempt 9182-Manager VIII, Municipal Transporation Agency"
"23 days Juvenile Probation | REF4235T | Temporary Exempt 8562-Counselor, Juvenile Hall (SFERS)"
23 days Public Health | RTF0144115-01128357 | Permanent Exempt 9976-Technology Expert I
24 days Mayor | RTF0143893-01146010 | Permanent Civil Service 9775-Senior Community Development Specialist II
24 days District Attorney | REF861T | Permanent Exempt 8177-Attorney (Civil/Criminal)
24 days District Attorney | RTF0145438-01110086 | Permanent Exempt 8177-Attorney (Civil/Criminal)
24 days Controller | RTF0121406-01150808 | Temporary Exempt 1654-Accountant III
24 days Controller | RTF0119609-01150499 | Temporary Exempt 1634-Principal Account Clerk
26 days San Francisco International Airport | RTF0144063-01090404 | Temporary Provisional Permanent Civil Service 8139-Industrial Injury Investigator
"27 days One application, many opportunities Police | REF18255F | Permanent Civil Service Q002-Police Officer"
"34 days San Francisco International Airport | RTF0142180-01119784 | Temporary Provisional Permanent Civil Service 7328-Operating Engineer, Universal"
35 days City Administrator | RTF0141409-01111513 | Permanent Exempt 0932-Manager IV
36 days Public Health | REF3503J | Temporary Exempt P103-Special Nurse
"36 days One application, many opportunities Public Health | REF29323X | Permanent Civil Service 2320-Registered Nurse"
"36 days One application, many opportunities Public Health | REF28890M | Permanent Civil Service 2320-Registered Nurse"
36 days Technology | REF34760B | Temporary Exempt 1063-IS Programmer Analyst-Senior
36 days City Attorney | RTF0140135-01077120 | Permanent Exempt 8177-Attorney (Civil/Criminal)
43 days Emergency Management | REF20035L | Temporary Exempt 1093-IT Operations Support Administrator III
44 days Public Utilities Commission | RTF0130650-01077778 | Permanent Civil Service 6137-Assistant Industrial Hygienist
44 days Public Health | REF4247X | Permanent Exempt 2230-Physician Specialist
44 days Public Health | REF4248L | Permanent Exempt 2232-Senior Physician Specialist
48 days Recreation & Park Commission | REF3041B | Temporary Exempt 3279-Recreation Leader
"50 days One application, many opportunities Public Health | RTF0128979-01123211 | Permanent Civil Service 2471-Radiologic Technologist I, II, III"
50 days Public Health | RTF0122803-01065671 | Permanent Civil Service 2472-Radiologic Technologist Lead
51 days Controller | RTF0137831-01101589 | Permanent Exempt 1064-IS Programmer Analyst-Principal
55 days Public Health | RTF0143412-01140677 | Temporary Exempt 2324-Nursing Supervisor
57 days Public Health | RTF0142432-01016539 | Permanent Exempt 2230-Physician Specialist
"57 days One application, many opportunities Fire Department | REF26306Z | Permanent Civil Service H003-EMT/Paramedic/Firefighter"
59 days Recreation & Park Commission | RTF0143146-01129797 | Temporary Exempt 3264-Camp Assistant
59 days San Francisco International Airport | REF33900A | Temporary Exempt 0923-Manager II
59 days Public Health | RTF0136037-01154457 | Temporary Exempt 2322-Nurse Manager
"65 days One application, many opportunities Public Health | REF6840T | Permanent Civil Service 2454-Clinical Pharmacist"
66 days San Francisco International Airport | REF33935V | Temporary Exempt 1844-Senior Management Assistant
"66 days One application, many opportunities Public Health | REF6229M | Permanent Civil Service 2450-Pharmacist"
"66 days One application, many opportunities Human Services Agency | REF37064D | Permanent Civil Service 2940-Protective Services Worker"
69 days Recreation & Park Commission | REF3025D | Temporary Exempt 3279-Recreation Leader
70 days Recreation & Park Commission | RTF0143769-01142753 | Temporary Exempt 2618-Food Service Supervisor
70 days Recreation & Park Commission | RTF0117825-01123767 | Temporary Exempt 3208-Pool Lifeguard
70 days Public Health | REF4186N | Temporary Exempt 2218-Physician Assistant
"70 days One application, many opportunities Public Health | REF23987G | Permanent Civil Service 2583-Home Health Aide"
"70 days One application, many opportunities Public Health | REF10366L | Permanent Civil Service 2303-Patient Care Assistant"
70 days Recreation & Park Commission | REF20770A | Temporary Exempt 2708-Custodian
76 days Recreation & Park Commission | REF36693O | Temporary Exempt 2654-Cook
76 days Public Health | RTF0116440-01143892 | Permanent Civil Service 2243-Supervising Psychiatric Physician Specialist
"76 days One application, many opportunities Public Health | REF31342O | Permanent Civil Service 2548-Occupational Therapist"
"76 days One application, many opportunities Public Health | REF8353N | Permanent Civil Service 2233-Supervising Physician Specialist"
"76 days One application, many opportunities Public Health | REF31397C | Permanent Civil Service 2556-Physical Therapist"
76 days Public Health | REF4249O | Permanent Exempt 2242-Senior Psychiatric Physician Specialist
78 days Public Utilities Commission | REF36243J | Temporary Exempt 9922-Public Service Aide - Associate To Professionals
78 days Public Utilities Commission | REF36239X | Temporary Exempt 9920-Public Service Aide - Assistant To Professionals
"78 days One application, many opportunities Public Health | REF6963H | Permanent Civil Service 2305-Psychiatric Technician"
78 days Public Health | RTF0136830-01107773 | Temporary Provisional Permanent Civil Service 7120-Buildings And Grounds Maintenance Superintendent
"79 days One application, many opportunities Public Health | REF9182L | Permanent Civil Service 2314-Behavioral Health Team Leader"
"79 days One application, many opportunities Public Health | REF12352X | Permanent Civil Service 2409-Pharmacy Technician"
"79 days One application, many opportunities Public Health | REF14156P | Permanent Civil Service 2312-Licensed Vocational Nurse"
79 days Public Health | REF4916L | Temporary Exempt 1229-Special Examiner
79 days Recreation & Park Commission | RTF0143119-01118424 | Temporary Exempt 3286-Recreation Coordinator
79 days Recreation & Park Commission | REF36522U | Temporary Exempt 2650-Assistant Cook
"79 days One application, many opportunities Human Services Agency | REF36550S | Permanent Civil Service 2940-Protective Services Worker"
79 days Public Library | RTF0136480-01107841 | Temporary Provisional Permanent Civil Service 7205-Chief Stationary Engineer
80 days Recreation & Park Commission | REF36516S | Temporary Exempt 2604-Food Service Worker
83 days Recreation & Park Commission | RTF0143237-01155986 | Temporary Exempt 2706-Housekeeper/Food Service Cleaner
83 days Recreation & Park Commission | RTF0143211-01134560 | Permanent Exempt 2656-Chef
"91 days One application, many opportunities Fire Department | REF34757B | Permanent Civil Service H002-Firefighter"
98 days Retirement System | RTF0142418-01011057 | Permanent Exempt 0922-Manager I
131 days Public Works | RTF0116764-01138937 | Temporary Exempt 9916-Public Service Aide - Public Works
135 days Technology | RTF0141706-01124403 | Permanent Exempt 1052-IS Business Analyst
141 days City Attorney | RTF0141596-01050935 | Temporary Provisional Permanent Civil Service 1458-Legal Secretary I
"143 days One application, many opportunities Tech Hire Program | REF11425P | Permanent Civil Service 1044-IS Engineer-Principal"
"143 days One application, many opportunities Tech Hire Program | REF11393Y | Permanent Civil Service 1044-IS Engineer-Principal"
"143 days One application, many opportunities Tech Hire Program | REF11386E | Permanent Civil Service 1044-IS Engineer-Principal"
"143 days One application, many opportunities Tech Hire Program | REF11382M | Permanent Civil Service 1044-IS Engineer-Principal"
"143 days One application, many opportunities Tech Hire Program | REF11424D | Permanent Civil Service 1043-IS Engineer-Senior"
"143 days One application, many opportunities Tech Hire Program | REF11391G | Permanent Civil Service 1043-IS Engineer-Senior"
"143 days One application, many opportunities Tech Hire Program | REF11385U | Permanent Civil Service 1043-IS Engineer-Senior"
"143 days One application, many opportunities Tech Hire Program | REF11381W | Permanent Civil Service 1043-IS Engineer-Senior"
"143 days One application, many opportunities Tech Hire Program | REF11423L | Permanent Civil Service 1042-IS Engineer-Journey"
"143 days One application, many opportunities Tech Hire Program | REF11390M | Permanent Civil Service 1042-IS Engineer-Journey"
"143 days One application, many opportunities Tech Hire Program | REF11387H | Permanent Civil Service 1042-IS Engineer-Journey"
"143 days One application, many opportunities Tech Hire Program | REF11361X | Permanent Civil Service 1042-IS Engineer-Journey"
"143 days One application, many opportunities Tech Hire Program | REF11421A | Permanent Civil Service 1041-IS Engineer-Assistant"
"143 days One application, many opportunities Tech Hire Program | REF11389E | Permanent Civil Service 1041-IS Engineer-Assistant"
"143 days One application, many opportunities Tech Hire Program | REF11388D | Permanent Civil Service 1041-IS Engineer-Assistant"
"143 days One application, many opportunities Tech Hire Program | REF11330D | Permanent Civil Service 1041-IS Engineer-Assistant"
147 days Police | REF4448M | Temporary Exempt 8274-Police Cadet
156 days Technology | RTF0140402-01093033 | Temporary Exempt 7430-Assistant Electronic Maintenance Technician
163 days SF Community College District | RTF0141089-01155717 | Temporary Exempt 3208-Pool Lifeguard
175 days Recreation & Park Commission | REF2498G | Temporary Exempt 3278-Recreation Facility Assistant
"183 days One application, many opportunities Citywide | REF29335L | Permanent Civil Service 1840-Junior Management Assistant"
"183 days One application, many opportunities Citywide | REF29342Q | Permanent Civil Service 1844-Senior Management Assistant"
183 days Technology | RTF0139805-01148386 | Temporary Exempt 7432-Electrical Line Helper
197 days City Administrator | RTF0135218-01075594 | Temporary Exempt 1777-Media/Security Systems Specialist
210 days Recreation & Park Commission | REF3050I | Temporary Exempt 3208-Pool Lifeguard
210 days Academy of Sciences | RTF0136770-01053272 | Permanent Exempt 7335-Senior Stationary Engineer
"216 days One application, many opportunities Citywide | REF29341O | Permanent Civil Service 1842-Management Assistant"
"216 days Public Utilities Commission | RTF0133014-01072974 | Temporary Provisional Permanent Civil Service 7343-Senior Stationary Engineer, Water Treatment Plant"
"216 days Public Utilities Commission | RTF0133004-01119061 | Temporary Provisional Permanent Civil Service 7341-Stationary Engineer, Water Treatment Plant"
"216 days One application, many opportunities Sheriff | REF3046S | Permanent Civil Service 8504-Deputy Sheriff (SFERS)"
"216 days One application, many opportunities Sheriff | REF12238T | Permanent Civil Service 8302-Deputy Sheriff I"
217 days Controller | RTF0122795-01136383 | Temporary Exempt 9920-Public Service Aide - Assistant To Professionals
217 days Recreation & Park Commission | REF1992O | Temporary Exempt 2708-Custodian
217 days Technology | REF2739I | Temporary Exempt 7308-Cable Splicer
217 days Technology | REF2738S | Temporary Exempt 7308-Cable Splicer
217 days Technology | REF53O | Temporary Exempt 7362-Communications Systems Technician
217 days Technology | RTF0134033-01118177 | Permanent Exempt 1042-IS Engineer-Journey
"217 days One application, many opportunities Citywide | REF29570M | Permanent Civil Service 7334-Stationary Engineer"
218 days Access to City Employment | REF3188U | Permanent Exempt 2930-Behavioral Health Clinician
218 days Access to City Employment | REF3301K | Permanent Exempt 7334-Stationary Engineer
218 days Access to City Employment | REF3127M | Permanent Exempt 2303-Patient Care Assistant
"218 days One application, many opportunities Citywide | REF3447Z | Permanent Civil Service 5215-Fire Protection Engineer"
224 days Public Library | REF3008X | Temporary Exempt 3630-Librarian I
232 days City Administrator | RTF0138547-01111931 | Temporary Provisional Permanent Civil Service 7313-Automotive Machinist
"295 days One application, many opportunities Citywide | REF27073Y | Permanent Civil Service 1244-Senior Human Resources Analyst"
"295 days One application, many opportunities Citywide | REF27072P | Permanent Civil Service 1241-Human Resources Analyst"
"316 days One application, many opportunities Citywide | REF25945G | Permanent Civil Service 1822-Administrative Analyst"
"329 days One application, many opportunities Citywide | REF25983R | Permanent Civil Service 1820-Junior Administrative Analyst"
657 days District Attorney | RTF0123002-01124239 | Permanent Exempt 8550-District Attorney's Investigator (SFERS)
